TimeStamp,ID,Entry,Exit
ID_001,14:40:32.369,14:40:42.955,10.6
ID_002,14:40:32.369,14:40:42.955,10.6
ID_003,14:40:32.369,14:40:42.955,10.6
ID_004,14:40:32.369,14:40:42.955,10.6
ID_005,14:40:32.817,14:40:42.955,10.1
ID_006,14:40:33.059,14:40:42.955,9.9
ID_007,14:40:33.369,14:40:42.955,9.6
ID_008,14:40:33.369,14:40:42.955,9.6
ID_009,14:40:33.507,14:40:42.955,9.4
ID_010,14:40:33.611,14:40:42.955,9.3
ID_011,14:40:33.921,14:40:42.955,9.0
ID_012,14:40:34.507,14:40:42.955,8.4
ID_013,14:40:34.783,14:40:42.955,8.2
ID_014,14:40:34.955,14:40:42.955,8.0
ID_015,14:40:35.300,14:40:42.955,7.7
ID_016,14:40:35.473,14:40:42.955,7.5
ID_017,14:40:35.473,14:40:42.955,7.5
ID_018,14:40:35.611,14:40:42.955,7.3
ID_019,14:40:35.611,14:40:42.955,7.3
ID_020,14:40:35.714,14:40:42.955,7.2
ID_021,14:40:35.783,14:40:42.955,7.2
ID_022,14:40:35.921,14:40:42.955,7.0
ID_023,14:40:36.231,14:40:42.955,6.7
ID_024,14:40:36.300,14:40:42.955,6.7
ID_025,14:40:36.369,14:40:42.955,6.6
ID_026,14:40:36.817,14:40:42.955,6.1
ID_027,14:40:37.369,14:40:42.955,5.6
ID_028,14:40:37.714,14:40:42.955,5.2
ID_029,14:40:37.783,14:40:42.955,5.2
ID_030,14:40:38.059,14:40:42.955,4.9
ID_031,14:40:38.404,14:40:42.955,4.6
ID_032,14:40:38.473,14:40:42.955,4.5
ID_033,14:40:38.542,14:40:42.955,4.4
ID_034,14:40:38.576,14:40:42.955,4.4
ID_035,14:40:38.611,14:40:42.955,4.3
ID_036,14:40:38.680,14:40:42.955,4.3
ID_037,14:40:38.714,14:40:42.955,4.2
ID_038,14:40:38.783,14:40:42.955,4.2
ID_039,14:40:38.852,14:40:42.955,4.1
ID_040,14:40:39.128,14:40:42.955,3.8
ID_041,14:40:39.162,14:40:42.955,3.8
ID_042,14:40:39.266,14:40:42.955,3.7
ID_043,14:40:39.473,14:40:42.955,3.5
ID_044,14:40:39.611,14:40:42.955,3.3
ID_045,14:40:39.714,14:40:42.955,3.2
ID_046,14:40:39.783,14:40:42.955,3.2
ID_047,14:40:39.783,14:40:42.955,3.2
ID_048,14:40:40.404,14:40:42.955,2.6
ID_049,14:40:40.645,14:40:42.955,2.3
ID_050,14:40:40.645,14:40:42.955,2.3
ID_051,14:40:40.817,14:40:42.955,2.1
ID_052,14:40:40.921,14:40:42.955,2.0
ID_053,14:40:41.024,14:40:42.955,1.9
ID_054,14:40:41.093,14:40:42.955,1.9
ID_055,14:40:41.335,14:40:42.955,1.6
ID_056,14:40:41.783,14:40:42.955,1.2
ID_057,14:40:42.162,14:40:42.955,0.8
ID_058,14:40:42.197,14:40:42.955,0.8
ID_059,14:40:42.300,14:40:42.955,0.7
ID_060,14:40:42.369,14:40:42.955,0.6
ID_061,14:40:42.542,14:40:42.955,0.4
ID_062,14:40:42.714,14:40:42.955,0.2
ID_063,14:40:42.749,14:40:42.955,0.2
ID_064,14:40:42.817,14:40:42.955,0.1
ID_065,14:40:42.955,14:40:42.955,0.0
