================================================================================
PERSON TRACKING LOG (Part-Based)
================================================================================
Video Start Time: 2025-08-17 20:46:11
Format: [TIMESTAMP] FRAME | ID | STATUS | DETAILS
--------------------------------------------------------------------------------

[20:46:11.427] F000001 | ID_001 | New          |  at (894,204)-(983,496)
[20:46:11.427] F000001 | ID_002 | New          |  at (411,273)-(591,624)
[20:46:11.427] F000001 | ID_003 | New          |  at (602,90)-(644,175)
[20:46:11.460] F000002 | ID_001 | Tracked      | IoU: 1.00 at (894,204)-(983,496)
[20:46:11.460] F000002 | ID_002 | Tracked      | IoU: 0.99 at (411,273)-(589,624)
[20:46:11.460] F000002 | ID_003 | Tracked      | IoU: 0.99 at (602,90)-(644,175)
[20:46:11.494] F000003 | ID_001 | Tracked      | IoU: 0.99 at (893,203)-(983,496)
[20:46:11.494] F000003 | ID_002 | Tracked      | IoU: 0.83 at (417,273)-(617,624)
[20:46:11.494] F000003 | ID_003 | Tracked      | IoU: 0.91 at (602,91)-(641,175)
[20:46:11.527] F000004 | ID_001 | Tracked      | IoU: 0.99 at (893,201)-(983,496)
[20:46:11.527] F000004 | ID_002 | Tracked      | IoU: 0.81 at (419,272)-(581,624)
[20:46:11.527] F000004 | ID_003 | Tracked      | IoU: 0.87 at (601,91)-(645,177)
[20:46:11.560] F000005 | ID_001 | Tracked      | IoU: 0.99 at (892,201)-(983,496)
[20:46:11.560] F000005 | ID_002 | Tracked      | IoU: 0.97 at (419,272)-(578,624)
[20:46:11.560] F000005 | ID_003 | Tracked      | IoU: 0.83 at (598,91)-(650,179)
[20:46:11.560] F000005 | ID_004 | New          |  at (536,78)-(597,176)
[20:46:11.594] F000006 | ID_001 | Tracked      | IoU: 0.99 at (892,198)-(983,495)
[20:46:11.594] F000006 | ID_002 | Tracked      | IoU: 0.96 at (421,271)-(582,624)
[20:46:11.594] F000006 | ID_003 | Tracked      | IoU: 0.75 at (599,91)-(638,178)
[20:46:11.594] F000006 | ID_004 | Lost         |  at (536,78)-(597,176)
[20:46:11.627] F000007 | ID_001 | Tracked      | IoU: 0.99 at (892,198)-(983,496)
[20:46:11.627] F000007 | ID_002 | Tracked      | IoU: 0.95 at (422,269)-(576,625)
[20:46:11.627] F000007 | ID_003 | Lost         |  at (599,91)-(638,178)
[20:46:11.660] F000008 | ID_001 | Tracked      | IoU: 1.00 at (892,198)-(983,495)
[20:46:11.660] F000008 | ID_002 | Tracked      | IoU: 0.98 at (422,269)-(579,625)
[20:46:11.694] F000009 | ID_001 | Tracked      | IoU: 0.98 at (893,198)-(983,496)
[20:46:11.694] F000009 | ID_002 | Tracked      | IoU: 0.74 at (421,266)-(632,625)
[20:46:11.727] F000010 | ID_001 | Tracked      | IoU: 1.00 at (893,198)-(983,495)
[20:46:11.727] F000010 | ID_002 | Tracked      | IoU: 0.96 at (422,264)-(628,622)
[20:46:11.760] F000011 | ID_001 | Tracked      | IoU: 1.00 at (893,198)-(983,495)
[20:46:11.760] F000011 | ID_002 | Tracked      | IoU: 0.95 at (427,262)-(629,618)
[20:46:11.794] F000012 | ID_001 | Tracked      | IoU: 0.99 at (893,199)-(983,495)
